team_name,season,W,L,D,GF,GA,GD,points,place,annual_wage_bill,annual_transfer_spend,prev_annual_transfer_spend,lat,lon
Southampton FC,2018/2019,9,17,12,45,65,-20,39,16,83152150.96153846,62439000,61429000.0,50.905833,-1.391111
Southampton FC,2019/2020,15,16,7,51,60,-9,52,11,60809441.9047619,61743000,62439000.0,50.905833,-1.391111
Southampton FC,2020/2021,12,19,7,47,68,-21,43,15,64335489.622641504,37682000,61743000.0,50.905833,-1.391111
Southampton FC,2021/2022,9,16,13,43,67,-24,40,15,57527569.724770635,63466000,37682000.0,50.905833,-1.391111
Southampton FC,2022/2023,6,25,7,36,73,-37,25,20,48405437.815126054,153265000,63466000.0,50.905833,-1.391111
Everton FC,2014/2015,12,15,11,48,50,-2,47,11,60170855.0,40345000,0.0,53.438889,-2.966389
Everton FC,2015/2016,11,13,14,59,55,4,47,11,65976258.0,48355000,40345000.0,53.438889,-2.966389
Everton FC,2016/2017,17,11,10,62,44,18,61,7,80900012.0,86175000,48355000.0,53.438889,-2.966389
Everton FC,2017/2018,13,15,10,44,58,-14,49,8,99894834.31372549,203445000,86175000.0,53.438889,-2.966389
Everton FC,2018/2019,15,14,9,54,46,8,54,8,98279943.26923077,100188000,203445000.0,53.438889,-2.966389
Everton FC,2019/2020,13,15,10,44,56,-12,49,12,99868774.28571428,120202000,100188000.0,53.438889,-2.966389
Everton FC,2020/2021,17,13,8,47,48,-1,59,10,103587744.33962263,74702000,120202000.0,53.438889,-2.966389
Everton FC,2021/2022,11,21,6,43,66,-23,39,16,101420514.67889908,39590000,74702000.0,53.438889,-2.966389
Everton FC,2022/2023,8,18,12,34,57,-23,36,17,82842879.83193278,83243000,39590000.0,53.438889,-2.966389
Everton FC,2023/2024,13,16,9,40,51,-11,48,12,73610377.9527559,40741000,83243000.0,53.438889,-2.966389
Tottenham Hotspur FC,2014/2015,19,12,7,58,53,5,64,5,78458830.0,48798000,0.0,51.603333,-0.065833
Tottenham Hotspur FC,2015/2016,19,6,13,69,35,34,70,3,64694251.0,71152000,48798000.0,51.603333,-0.065833
Tottenham Hotspur FC,2016/2017,26,4,8,86,26,60,86,2,84927304.0,83530000,71152000.0,51.603333,-0.065833
Tottenham Hotspur FC,2017/2018,23,7,8,74,36,38,77,3,93882902.94117647,121208000,83530000.0,51.603333,-0.065833
Tottenham Hotspur FC,2018/2019,23,13,2,67,39,28,71,4,104585630.76923077,92000,121208000.0,51.603333,-0.065833
Tottenham Hotspur FC,2019/2020,16,11,11,61,47,14,59,6,122186770.47619048,116030000,92000.0,51.603333,-0.065833
Tottenham Hotspur FC,2020/2021,18,12,8,68,45,23,62,7,151293706.60377356,110717000,116030000.0,51.603333,-0.065833
Tottenham Hotspur FC,2021/2022,22,11,5,69,40,29,71,4,120558442.20183486,96083000,110717000.0,51.603333,-0.065833
Tottenham Hotspur FC,2022/2023,18,14,6,70,63,7,60,8,106791633.61344539,180051000,96083000.0,51.603333,-0.065833
Tottenham Hotspur FC,2023/2024,20,12,6,74,61,13,66,5,109532926.77165355,247464000,180051000.0,51.603333,-0.065833
Hull City,2014/2015,8,19,11,33,51,-18,35,18,43880420.0,48499000,0.0,53.746111,-0.367778
Hull City,2016/2017,9,22,7,37,80,-43,34,18,50260643.0,40216000,,53.746111,-0.367778
Sunderland AFC,2014/2015,7,14,17,31,53,-22,38,17,46064003.0,22761000,0.0,54.9144,-1.3882
Sunderland AFC,2015/2016,9,17,12,48,62,-14,39,17,55274182.0,66304000,22761000.0,54.9144,-1.3882
Sunderland AFC,2016/2017,6,26,6,29,69,-40,24,20,56959274.0,42113000,66304000.0,54.9144,-1.3882
Manchester City FC,2014/2015,24,7,7,83,38,45,79,2,145845890.0,102897000,0.0,53.482989,-2.200292
Manchester City FC,2015/2016,19,10,9,71,41,30,66,5,151403244.0,208762000,102897000.0,53.482989,-2.200292
Manchester City FC,2016/2017,23,6,9,80,39,41,78,3,164527417.0,216658000,208762000.0,53.482989,-2.200292
Manchester City FC,2017/2018,32,2,4,106,27,79,100,1,177128595.0980392,318052000,216658000.0,53.482989,-2.200292
Manchester City FC,2018/2019,32,4,2,95,23,72,98,1,172705155.76923075,78946000,318052000.0,53.482989,-2.200292
Manchester City FC,2019/2020,26,9,3,102,35,67,81,2,169219253.3333333,167154000,78946000.0,53.482989,-2.200292
Manchester City FC,2020/2021,27,6,5,83,32,51,86,1,154896154.7169811,173987000,167154000.0,53.482989,-2.200292
Manchester City FC,2021/2022,29,3,6,99,26,73,93,1,165812445.87155962,139318000,173987000.0,53.482989,-2.200292
Manchester City FC,2022/2023,28,5,5,94,33,61,89,1,190218626.05042017,155613000,139318000.0,53.482989,-2.200292
Manchester City FC,2023/2024,28,3,7,96,34,62,91,1,187369152.7559055,241344000,155613000.0,53.482989,-2.200292
AFC Bournemouth,2015/2016,11,18,9,45,67,-22,42,16,31546915.0,55477000,,50.735278,-1.838333
AFC Bournemouth,2016/2017,12,16,10,55,67,-12,46,8,42532819.0,40853000,55477000.0,50.735278,-1.838333
AFC Bournemouth,2017/2018,11,16,11,45,61,-16,44,11,50346109.803921565,34519000,40853000.0,50.735278,-1.838333
AFC Bournemouth,2018/2019,13,19,6,56,70,-14,45,13,60419458.65384615,91815000,34519000.0,50.735278,-1.838333
