team_name,season,W,L,D,GF,GA,GD,points,place,annual_wage_bill,annual_transfer_spend,prev_annual_transfer_spend
Southampton FC,2021/2022,9,16,13,43,67,-24,40,15,62705051.0,63466000,37682000.0
Southampton FC,2022/2023,6,25,7,36,73,-37,25,20,57602471.0,153265000,63466000.0
Everton FC,2015/2016,11,13,14,59,55,4,47,11,65976258.0,48355000,40345000.0
Everton FC,2016/2017,17,11,10,62,44,18,61,7,80900012.0,86175000,48355000.0
Everton FC,2017/2018,13,15,10,44,58,-14,49,8,101892731.0,203445000,86175000.0
Everton FC,2018/2019,15,14,9,54,46,8,54,8,102211141.0,100188000,203445000.0
Everton FC,2019/2020,13,15,10,44,56,-12,49,12,104862213.0,120202000,100188000.0
Everton FC,2020/2021,17,13,8,47,48,-1,59,10,109803009.0,74702000,120202000.0
Everton FC,2021/2022,11,21,6,43,66,-23,39,16,110548361.0,39590000,74702000.0
Everton FC,2022/2023,8,18,12,34,57,-23,36,17,98583027.0,83243000,39590000.0
Everton FC,2023/2024,13,16,9,40,51,-11,48,12,93485180.0,40741000,83243000.0
Tottenham Hotspur FC,2015/2016,19,6,13,69,35,34,70,3,64694251.0,71152000,48798000.0
Tottenham Hotspur FC,2016/2017,26,4,8,86,26,60,86,2,84927304.0,83530000,71152000.0
Tottenham Hotspur FC,2017/2018,23,7,8,74,36,38,77,3,95760561.0,121208000,83530000.0
Tottenham Hotspur FC,2018/2019,23,13,2,67,39,28,71,4,108769056.0,92000,121208000.0
Tottenham Hotspur FC,2019/2020,16,11,11,61,47,14,59,6,128296109.0,116030000,92000.0
Tottenham Hotspur FC,2020/2021,18,12,8,68,45,23,62,7,160371329.0,110717000,116030000.0
Tottenham Hotspur FC,2021/2022,22,11,5,69,40,29,71,4,131408702.0,96083000,110717000.0
Tottenham Hotspur FC,2022/2023,18,14,6,70,63,7,60,8,127082044.0,180051000,96083000.0
Tottenham Hotspur FC,2023/2024,20,12,6,74,61,13,66,5,139106817.0,247464000,180051000.0
Sunderland AFC,2015/2016,9,17,12,48,62,-14,39,17,55274182.0,66304000,22761000.0
Sunderland AFC,2016/2017,6,26,6,29,69,-40,24,20,56959274.0,42113000,66304000.0
Manchester City FC,2015/2016,19,10,9,71,41,30,66,5,151403244.0,208762000,102897000.0
Manchester City FC,2016/2017,23,6,9,80,39,41,78,3,164527417.0,216658000,208762000.0
Manchester City FC,2017/2018,32,2,4,106,27,79,100,1,180671167.0,318052000,216658000.0
Manchester City FC,2018/2019,32,4,2,95,23,72,98,1,179613362.0,78946000,318052000.0
Manchester City FC,2019/2020,26,9,3,102,35,67,81,2,177680216.0,167154000,78946000.0
Manchester City FC,2020/2021,27,6,5,83,32,51,86,1,164189924.0,173987000,167154000.0
Manchester City FC,2021/2022,29,3,6,99,26,73,93,1,180735566.0,139318000,173987000.0
Manchester City FC,2022/2023,28,5,5,94,33,61,89,1,226360165.0,155613000,139318000.0
Manchester City FC,2023/2024,28,3,7,96,34,62,91,1,237958824.0,241344000,155613000.0
AFC Bournemouth,2016/2017,12,16,10,55,67,-12,46,8,42532819.0,40853000,55477000.0
AFC Bournemouth,2017/2018,11,16,11,45,61,-16,44,11,51353032.0,34519000,40853000.0
AFC Bournemouth,2018/2019,13,19,6,56,70,-14,45,13,62836237.0,91815000,34519000.0
AFC Bournemouth,2019/2020,9,22,7,40,65,-25,34,19,50505114.0,54972000,91815000.0
AFC Bournemouth,2023/2024,13,16,9,54,67,-13,48,11,64906255.0,127685000,83254000.0
Watford FC,2016/2017,11,20,7,40,68,-28,40,16,50085330.0,70739000,83058000.0
Watford FC,2017/2018,11,19,8,44,64,-20,41,14,55425638.0,73739000,70739000.0
Watford FC,2018/2019,14,16,8,52,59,-7,50,11,58910310.0,30573000,73739000.0
Watford FC,2019/2020,8,20,10,36,64,-28,34,18,68775206.0,36330000,30573000.0
Brighton & Hove Albion FC,2018/2019,9,20,9,35,60,-25,36,17,51066812.0,90878000,70155000.0
Brighton & Hove Albion FC,2019/2020,9,15,14,39,54,-15,41,15,58101751.0,57483000,90878000.0
Brighton & Hove Albion FC,2020/2021,9,15,14,40,46,-6,41,16,61511176.0,50568000,57483000.0
Brighton & Hove Albion FC,2021/2022,12,11,15,42,44,-2,51,9,55418481.0,75430000,50568000.0
Brighton & Hove Albion FC,2022/2023,18,12,8,72,53,19,62,6,44607160.0,56038000,75430000.0
Brighton & Hove Albion FC,2023/2024,12,14,12,55,62,-7,48,13,73862025.0,98066000,56038000.0
Huddersfield Town AFC,2018/2019,3,28,7,22,76,-54,16,20,41876908.0,50772000,56929000.0
Fulham FC,2023/2024,13,17,8,55,61,-6,47,14,78940040.0,68651000,76243000.0
Wolverhampton Wanderers FC,2019/2020,15,9,14,51,40,11,59,7,64553524.0,97464000,117866000.0
Wolverhampton Wanderers FC,2020/2021,12,17,9,36,52,-16,45,12,61433538.0,87851000,97464000.0
Wolverhampton Wanderers FC,2021/2022,15,17,6,38,43,-5,51,10,68298179.0,37921000,87851000.0
Wolverhampton Wanderers FC,2022/2023,11,19,8,31,58,-27,41,13,60654855.0,179939000,37921000.0
Wolverhampton Wanderers FC,2023/2024,13,18,7,50,65,-15,46,15,63705996.0,94335000,179939000.0
Sheffield United FC,2020/2021,7,29,2,20,63,-43,23,20,23955287.0,62897000,47655000.0
Leeds United,2021/2022,9,18,11,42,79,-37,38,17,28394966.0,59423000,128005000.0
Leeds United,2022/2023,7,21,10,48,78,-30,31,19,57390918.0,164282000,59423000.0
Brentford FC,2022/2023,15,9,14,58,46,12,59,9,37353966.0,49569000,38479000.0
Brentford FC,2023/2024,10,19,9,56,65,-9,39,16,47271698.0,65125000,49569000.0
Nottingham Forest FC,2023/2024,9,20,9,49,67,-18,36,17,85284601.0,119051000,198641000.0
